OrderID,CustomerID,ProductID,RegionCode,Order Date,Quantity,Unit Price (NGN),Discount %,Shipping Cost (NGN),Payment Method,Status,Sales Rep,Notes
ORD-00556,C0472,P003,R01,06-10-22,35,27380,0,5413,Cash,Returned,Lanre Ojo,Paid On Delivery
ORD-02653,C0439,P010,R13,30-11-22,24,24325,0.05,5673,Cash,Returned,Suleiman Ringim,Urgent Delivery
ORD-00859,C0743,P003,R03,14-06-21,50,39031,0.2,2913,Cheque,Pending,Tunde Afolabi,
ORD-00376,C0071,P005,R03,31-05-22,22,145934,0,3858,POS,Pending,Seun Bello,Return Requested
ORD-02382,C0874,P001,R02,22-07-22,2,550008,0.15,6616,Cash,Pending,Tunde Afolabi,
ORD-00800,C0418,P014,R01,19-04-21,12,15294,0.2,763,Cash,Returned,Seun Bello,VIP Customer
ORD-00822,C0617,P003,R01,10-05-23,16,23371,0,3679,POS,Completed,Seun Bello,Corporate Discount
ORD-00951,C0693,P001,R12,19-07-21,10,551351,0,1628,POS,Returned,Hauwa Gombe,Paid On Delivery
ORD-02970,C0479,P007,R03,06-01-22,43,4440,0.1,6644,Cheque,Returned,Lanre Ojo,Partial Payment
ORD-00191,C0130,P010,R12,13-09-22,45,12709,0.05,1608,Cash,Pending,Adamu Yusuf,
ORD-02898,C0632,P013,R13,12-06-22,20,201665,0.1,6112,Bank Transfer,Pending,Adamu Yusuf,
ORD-00540,C0702,P007,R06,04-12-21,18,5408,0.2,6681,Cash,Completed,Unassigned,
ORD-01941,C0114,P012,R02,30-07-23,48,16497,0.15,6438,Cash,Pending,Seun Bello,Urgent Delivery
ORD-00848,C0083,P012,R12,09-03-22,32,25215,0,2003,Cash,Completed,Hauwa Gombe,
ORD-02518,C0259,P013,R13,11-01-21,21,214517,0.05,6611,POS,Returned,Hauwa Gombe,
ORD-01047,C0749,P015,R06,03-10-23,37,292355,0,6608,Bank Transfer,Cancelled,Emeka Obi,
ORD-01505,C0750,P001,R04,30-08-23,18,559893,0.15,4440,Cash,Pending,Ngozi Obiora,VIP Customer
ORD-01421,C1046,P016,R05,03-11-21,14,250036,0,3385,Cash,Pending,Amaka Nwosu,Return Requested
ORD-00877,C0155,P015,R13,27-04-22,43,277332,0,7583,POS,Completed,Suleiman Ringim,Bulk Order
ORD-02879,C0716,P003,R05,31-08-21,32,21012,0,3413,Cash,Completed,Amaka Nwosu,VIP Customer
ORD-02982,C0342,P019,R12,17-03-21,37,99130,0.15,6631,POS,Completed,Suleiman Ringim,Bulk Order
ORD-02217,C0659,P009,R05,13-01-22,35,39291,0,5727,POS,Cancelled,Chidi Okonkwo,VIP Customer
ORD-00733,C0948,P015,R07,07-06-22,7,292987,0.05,3357,POS,Returned,Efemena Oghenekaro,
ORD-01770,C1102,P014,R11,30-11-22,30,8130,0,6921,Cheque,Returned,Fatima Umar,Urgent Delivery
ORD-00314,C0956,P007,R10,13-01-21,3,7879,0.15,518,Cash,Cancelled,Zainab Aliyu,
ORD-02416,C0083,P002,R03,19-12-22,2,67432,0.05,5274,POS,Returned,Tunde Afolabi,
ORD-02388,C0679,P004,R10,11-09-22,42,129286,0,715,Cash,Returned,Zainab Aliyu,
ORD-02584,C0352,P011,R08,03-11-21,36,20582,0.05,5218,POS,Pending,Musa Danladi,Bulk Order
ORD-01985,C0216,P006,R10,10-11-23,13,2998,0.2,3576,POS,Pending,Fatima Umar,Corporate Discount
ORD-02697,C0077,P012,R08,19-09-22,4,28058,0.1,5926,Cheque,Cancelled,Musa Danladi,
ORD-00132,C0820,P017,R02,30-11-21,5,154978,0,1565,POS,Cancelled,Seun Bello,Paid On Delivery
ORD-02957,C0215,P008,R11,09-05-21,9,108458,0.2,3108,POS,Returned,Kabiru Musa,Corporate Discount
ORD-00206,C0371,P009,R04,22-02-22,13,43562,0,5365,Bank Transfer,Returned,Ngozi Obiora,VIP Customer
ORD-02567,C0010,P006,R04,24-01-23,39,19976,0,1036,Cash,Pending,Chidi Okonkwo,Corporate Discount
ORD-00228,C0634,P017,R11,31-03-21,30,148733,0,7073,POS,Completed,Fatima Umar,Return Requested
ORD-01450,C1049,P008,R01,06-10-21,13,106709,0,1607,Bank Transfer,Completed,Lanre Ojo,
ORD-00094,C0376,P007,R01,23-11-22,46,2636,0.15,4165,Bank Transfer,Returned,Seun Bello,Corporate Discount
ORD-02156,C0761,P016,R08,18-11-21,11,261850,0.1,1262,Bank Transfer,Completed,Musa Danladi,
ORD-01603,C1078,P007,R12,29-04-22,46,11428,0.15,6412,Cash,Cancelled,Hauwa Gombe,
ORD-02258,C1137,P015,R03,18-03-23,44,276999,0,3840,POS,Completed,Ronke Adeyemi,
ORD-00478,C1113,P004,R08,27-06-21,21,124049,0.15,5598,Cash,Completed,Yakubu Idris,Corporate Discount
ORD-02742,C0625,P016,R12,25-11-21,45,255769,0.2,3906,POS,Cancelled,Adamu Yusuf,Corporate Discount
ORD-02308,C0435,P003,R12,01-08-21,9,30946,0.15,6631,Bank Transfer,Completed,Hauwa Gombe,Bulk Order
ORD-02364,C1063,P016,R09,02-02-21,38,249277,0.15,593,POS,Pending,Bose Adama,Corporate Discount
